date,description,transaction,deposit,balance
09/25/2023,UQ474 TFR-FR 6542032,,250.00,296.09
09/25/2023,HUDSON'S BAY #1   _F,85.03,,211.06
09/25/2023,ONNURI UNIVERSI   _F,50.67,,160.39
09/25/2023,DAIRY QUEEN #11   _F,6.88,,153.51
09/25/2023,MATH COFFEE & D   _F,3.85,,149.66
09/26/2023,YUNSHANGRICENOO   _F,16.76,,132.90
09/26/2023,UNIVERSITY CONV   _F,6.69,,126.21
09/27/2023,UW LIQUID ASSET   _F,12.51,,113.70
09/27/2023,UW LIQUID ASSET   _F,2.25,,111.45
09/27/2023,JAPANESE RESTAU   _F,24.85,,86.60
09/28/2023,MATH COFFEE & D   _F,3.90,,82.70
09/29/2023,FOODIE FRUITIE    _F,16.42,,66.28
09/29/2023,UX560 TFR-FR 6542032,,250.00,316.28
09/29/2023,PETRO CANADA078     ,68.11,,248.17
10/01/2023,ZEHRS #25 - GLE   _F,13.56,,234.61
10/01/2023,NOW TEA           _F,12.43,,222.18
10/01/2023,JINZAKAYA         _F,106.06,,116.12
10/03/2023,MATH COFFEE & D   _F,1.60,,114.52
10/03/2023,MATH COFFEE & D   _F,2.00,,112.52
10/03/2023,UW DC BYTES       _F,17.94,,94.58
10/04/2023,MATH COFFEE & D   _F,3.89,,90.69
10/04/2023,MATH COFFEE & D   _F,8.71,,81.98
10/04/2023,UW CHATIME DC     _F,6.33,,75.65
10/05/2023,UW STARBUCKS      _F,6.83,,68.82
10/05/2023,MATH COFFEE & D   _F,2.25,,66.57
10/06/2023,LOBSTER BURGER    _F,36.08,,30.49
10/06/2023,UBER CANADA/UBE   _V,12.90,,17.59
10/07/2023,REVEL             _F,12.74,,4.85
10/07/2023,CITY OF STRATFO   _F,3.75,,1.10
10/07/2023,RW412 TFR-FR 6542032,,250.00,251.10
10/08/2023,BEIJING SUNG RE     ,58.47,,192.63
10/08/2023,OAK AND FORT      _F,79.55,,113.08
10/08/2023,TWISTER KARAOKE   _F,30.00,,83.08
10/08/2023,SHOPPERS DRUG M   _F,16.15,,66.93
10/08/2023,WI472 TFR-FR 6542032,,250.00,316.93
10/09/2023,KYOUNG HEE HAIR   _F,114.00,,202.93
10/09/2023,SQ *MIZZICA GEL   _F,7.34,,195.59
10/10/2023,INVICTUS GAME S     ,28.25,,167.34
10/10/2023,BONE SOUP MALAT   _F,41.93,,125.41
10/10/2023,GONG CHA          _F,14.46,,110.95
10/10/2023,PRESTO MUSEUM S     ,10.00,,100.95
10/11/2023,PAYPAL *GREEN P   _V,20.00,,80.95
10/11/2023,BUK CHANG DONG    _F,42.76,,38.19
10/12/2023,UW TIM HORTONS    _F,8.67,,29.52
10/13/2023,WFC 106 WATERLO   _F,12.43,,17.09
10/13/2023,UNIVERSITY CONV   _F,3.44,,13.65
10/16/2023,LAZEEZ SHAWARMA   _F,9.03,,4.62
10/16/2023,UR373 TFR-FR 6542032,,250.00,254.62
10/16/2023,880 AMF FEDRICK   _F,23.13,,231.49
10/16/2023,DALDONGNAE WATE   _F,33.44,,198.05
10/16/2023,CAMPUS PIZZA      _F,6.50,,191.55
10/16/2023,UBER* PENDING     _V,14.59,,176.96
10/16/2023,UW BRUBAKERS SL   _F,11.29,,165.67
10/16/2023,UW BRUBAKERS SL   _F,6.87,,158.80
10/16/2023,MATH COFFEE & D   _F,1.60,,157.20
10/16/2023,YUNSHANGRICENOO   _F,16.15,,141.05
10/18/2023,UW LIQUID ASSET   _F,3.14,,137.91
10/18/2023,WATERLOO CENTRA   _F,7.16,,130.75
10/20/2023,CAMPUS PIZZA      _F,16.45,,114.30
10/20/2023,SQ *SLAP BURGER   _F,18.08,,96.22
10/20/2023,MYUNG GA KOREAN   _F,19.48,,76.74
10/23/2023,MR. PUFFS WATER   _F,8.95,,67.79
10/23/2023,MATH COFFEE & D     ,2.25,,65.54
10/23/2023,COSTCO WHOLESAL   _F,3.03,,62.51
10/24/2023,MATH COFFEE & D   _F,6.58,,55.93
10/24/2023,TIM HORTONS #76   _F,6.53,,49.40
10/25/2023,UW LIQUID ASSET   _F,5.63,,43.77
10/25/2023,UW LIQUID ASSET   _F,7.90,,35.87
10/25/2023,ONNURI UNIVERSI   _F,25.33,,10.54
10/25/2023,HU430 TFR-FR 6542032,,250.00,260.54
10/26/2023,SEND E-TFR ***ux9   ,9.50,,251.04
10/26/2023,Subway 2969       _F,19.20,,231.84
10/26/2023,SUPER CHICKEN     _F,15.36,,216.48
10/27/2023,UW LIQUID ASSET   _F,9.02,,207.46
10/27/2023,IZNA POKE PLUS    _F,16.94,,190.52
10/30/2023,TIM HORTONS #76   _F,14.24,,176.28
10/30/2023,UDEMY  ONL   31.63_V,31.63,,144.65
10/30/2023,SHOPPERS DRUG M   _F,3.15,,141.50
10/30/2023,SHOPPERS DRUG M   _F,14.67,,126.83
10/30/2023,MCDONALD'S #259   _F,40.22,,86.61
10/30/2023,ZEHRS #579        _F,50.00,,36.61
10/30/2023,TIM HORTONS #00   _F,7.09,,29.52
10/30/2023,UW BRUBAKERS SL     ,17.49,,12.03
10/31/2023,WT401 TFR-FR 6542032,,250.00,262.03
10/31/2023,SEND E-TFR ***EY2   ,17.50,,244.53
11/02/2023,DISPUTE ADJUST   MSP,,3.15,247.68
11/02/2023,DISPUTE ADJUST   MSP,,7.09,254.77
11/02/2023,DISPUTE ADJUST   MSP,,14.67,269.44
11/02/2023,DISPUTE ADJUST   MSP,,40.22,309.66
11/02/2023,DISPUTE ADJUST   MSP,,50.00,359.66
